Temperature (degC), Heater (%), error
3.176930596285435016e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.176930596285435016e+01,1.000000000000000000e+02,3.230694037145649844e+00
3.176930596285435016e+01,1.000000000000000000e+02,3.230694037145649844e+00
3.225806451612903203e+01,7.869387097646524865e+01,2.741935483870967971e+00
3.274682306940371745e+01,6.327242135268160439e+01,2.253176930596282546e+00
3.274682306940371745e+01,8.233559083646866839e+01,2.253176930596282546e+00
3.274682306940371745e+01,8.332354357065175066e+01,2.253176930596282546e+00
3.274682306940371745e+01,8.401070856737172221e+01,2.253176930596282546e+00
3.323558162267839577e+01,5.322232997165193069e+01,1.764418377321604225e+00
3.323558162267839577e+01,6.965373425978474131e+01,1.764418377321604225e+00
3.372434017595308120e+01,3.922653294502978838e+01,1.275659824046918800e+00
3.372434017595308120e+01,5.550844526738983831e+01,1.275659824046918800e+00
3.323558162267839577e+01,8.764500235580985077e+01,1.764418377321604225e+00
3.421309872922775952e+01,1.094304073413652922e+01,7.869012707722404798e-01
3.470185728250244495e+01,1.086636155628699996e+01,2.981427174975550543e-01
3.421309872922775952e+01,6.167306246397875924e+01,7.869012707722404798e-01
3.470185728250244495e+01,1.234571688049467397e+01,2.981427174975550543e-01
3.519061583577713037e+01,0.000000000000000000e+00,-1.906158357771303713e-01
3.519061583577713037e+01,1.247366807833640578e+01,-1.906158357771303713e-01
3.567937438905180869e+01,0.000000000000000000e+00,-6.793743890518086914e-01
3.665689149560117244e+01,0.000000000000000000e+00,-1.656891495601172437e+00
3.567937438905180869e+01,2.982845913875764765e+01,-6.793743890518086914e-01
3.616813294232649412e+01,0.000000000000000000e+00,-1.168132942326494117e+00
3.616813294232649412e+01,0.000000000000000000e+00,-1.168132942326494117e+00
3.665689149560117244e+01,0.000000000000000000e+00,-1.656891495601172437e+00
3.714565004887585076e+01,0.000000000000000000e+00,-2.145650048875850757e+00
3.665689149560117244e+01,0.000000000000000000e+00,-1.656891495601172437e+00
