Temperature (degC), Heater (%), error
3.079178885630498641e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.079178885630498641e+01,4.292461731986215057e+01,4.208211143695013590e+00
3.079178885630498641e+01,4.375872966411175469e+01,4.208211143695013590e+00
3.128054740957966828e+01,3.473276969486855847e+01,3.719452590420331717e+00
3.079178885630498641e+01,5.027281672195034190e+01,4.208211143695013590e+00
3.079178885630498641e+01,4.617986555649503799e+01,4.208211143695013590e+00
3.274682306940371745e+01,7.331868022519678618e+00,2.253176930596282546e+00
3.079178885630498641e+01,6.698394799896861684e+01,4.208211143695013590e+00
3.128054740957966828e+01,3.838228828180756125e+01,3.719452590420331717e+00
3.323558162267839577e+01,4.591786349686973523e+00,1.764418377321604225e+00
3.128054740957966828e+01,6.413910755904927896e+01,3.719452590420331717e+00
3.128054740957966828e+01,4.515333363224450380e+01,3.719452590420331717e+00
3.128054740957966828e+01,4.589044005546867311e+01,3.719452590420331717e+00
3.323558162267839577e+01,7.163497291368191355e+00,1.764418377321604225e+00
3.176930596285435016e+01,5.680576706327561709e+01,3.230694037145649844e+00
3.176930596285435016e+01,4.264321480212206694e+01,3.230694037145649844e+00
3.470185728250244495e+01,0.000000000000000000e+00,2.981427174975550543e-01
3.372434017595308120e+01,3.310111862805502625e+01,1.275659824046918800e+00
3.274682306940371745e+01,4.344763923867076016e+01,2.253176930596282546e+00
3.372434017595308120e+01,1.429800745802254269e+01,1.275659824046918800e+00
3.274682306940371745e+01,4.414507077015112202e+01,2.253176930596282546e+00
3.274682306940371745e+01,3.472308504569795673e+01,2.253176930596282546e+00
3.470185728250244495e+01,0.000000000000000000e+00,2.981427174975550543e-01
3.323558162267839577e+01,4.482074267386907707e+01,1.764418377321604225e+00
3.323558162267839577e+01,3.053843390300710681e+01,1.764418377321604225e+00
3.519061583577713037e+01,0.000000000000000000e+00,-1.906158357771303713e-01
3.421309872922775952e+01,3.079417778749620282e+01,7.869012707722404798e-01
3.372434017595308120e+01,3.093990272638851735e+01,1.275659824046918800e+00
3.421309872922775952e+01,1.638842708156601802e+01,7.869012707722404798e-01
3.421309872922775952e+01,2.148820497819524178e+01,7.869012707722404798e-01
3.421309872922775952e+01,2.164384742100103409e+01,7.869012707722404798e-01
3.421309872922775952e+01,2.180171355240973696e+01,7.869012707722404798e-01
3.470185728250244495e+01,1.203057175582464389e+01,2.981427174975550543e-01
3.470185728250244495e+01,1.703290494259733379e+01,2.981427174975550543e-01
3.519061583577713037e+01,7.165256408729726800e+00,-1.906158357771303713e-01
3.519061583577713037e+01,1.206938016566125604e+01,-1.906158357771303713e-01
3.519061583577713037e+01,1.203170221828407627e+01,-1.906158357771303713e-01
3.665689149560117244e+01,0.000000000000000000e+00,-1.656891495601172437e+00
3.567937438905180869e+01,1.689177986282838617e+01,-6.793743890518086914e-01
3.567937438905180869e+01,6.873582005151199326e+00,-6.793743890518086914e-01
3.567937438905180869e+01,6.739052106907633899e+00,-6.793743890518086914e-01
3.567937438905180869e+01,6.602931836250350628e+00,-6.793743890518086914e-01
3.616813294232649412e+01,0.000000000000000000e+00,-1.168132942326494117e+00
3.616813294232649412e+01,1.481224366763198574e+00,-1.168132942326494117e+00
3.665689149560117244e+01,0.000000000000000000e+00,-1.656891495601172437e+00
3.616813294232649412e+01,6.123685495326988359e+00,-1.168132942326494117e+00
3.616813294232649412e+01,1.015836613618693818e+00,-1.168132942326494117e+00
3.665689149560117244e+01,0.000000000000000000e+00,-1.656891495601172437e+00
3.665689149560117244e+01,0.000000000000000000e+00,-1.656891495601172437e+00
3.665689149560117244e+01,0.000000000000000000e+00,-1.656891495601172437e+00
3.616813294232649412e+01,5.722951733402770635e+00,-1.168132942326494117e+00
3.665689149560117244e+01,0.000000000000000000e+00,-1.656891495601172437e+00
3.665689149560117244e+01,0.000000000000000000e+00,-1.656891495601172437e+00
3.665689149560117244e+01,0.000000000000000000e+00,-1.656891495601172437e+00
3.861192570869989993e+01,0.000000000000000000e+00,-3.611925708699899928e+00
3.665689149560117244e+01,1.506581632948141625e+01,-1.656891495601172437e+00
3.616813294232649412e+01,5.161269869526982745e+00,-1.168132942326494117e+00
3.763440860215054329e+01,0.000000000000000000e+00,-2.634408602150543288e+00
3.665689149560117244e+01,4.885897210945403302e+00,-1.656891495601172437e+00
3.616813294232649412e+01,4.537764060378393083e+00,-1.168132942326494117e+00
3.616813294232649412e+01,1.000000000000000000e+02,1.383186705767350588e+01
3.665689149560117244e+01,1.000000000000000000e+02,1.334310850439882756e+01
3.763440860215054329e+01,1.000000000000000000e+02,1.236559139784945671e+01
3.812316715542522161e+01,1.000000000000000000e+02,1.187683284457477839e+01
3.861192570869989993e+01,1.000000000000000000e+02,1.138807429130010007e+01
3.763440860215054329e+01,1.000000000000000000e+02,1.236559139784945671e+01
3.812316715542522161e+01,1.000000000000000000e+02,1.187683284457477839e+01
3.910068426197458535e+01,1.000000000000000000e+02,1.089931573802541465e+01
3.861192570869989993e+01,1.000000000000000000e+02,1.138807429130010007e+01
3.910068426197458535e+01,1.000000000000000000e+02,1.089931573802541465e+01
3.910068426197458535e+01,1.000000000000000000e+02,1.089931573802541465e+01
3.910068426197458535e+01,1.000000000000000000e+02,1.089931573802541465e+01
3.958944281524926367e+01,1.000000000000000000e+02,1.041055718475073633e+01
4.007820136852394910e+01,1.000000000000000000e+02,9.921798631476050900e+00
4.056695992179863453e+01,1.000000000000000000e+02,9.433040078201365475e+00
4.105571847507331285e+01,9.769696713559336843e+01,8.944281524926687155e+00
4.105571847507331285e+01,1.000000000000000000e+02,8.944281524926687155e+00
4.105571847507331285e+01,1.000000000000000000e+02,8.944281524926687155e+00
4.154447702834799827e+01,9.442502778563512322e+01,8.455522971652001729e+00
4.203323558162267659e+01,9.119339092983636874e+01,7.966764418377323409e+00
4.252199413489736202e+01,8.772262078660436657e+01,7.478005865102637983e+00
4.301075268817204744e+01,8.430248838681089296e+01,6.989247311827952558e+00
4.349951124144672576e+01,8.063103834666482328e+01,6.500488758553274238e+00
4.447702834799608951e+01,6.716525805785769876e+01,5.522971652003910492e+00
4.301075268817204744e+01,1.000000000000000000e+02,6.989247311827952558e+00
4.349951124144672576e+01,8.311730473330857194e+01,6.500488758553274238e+00
4.545454545454545325e+01,4.955638695454972265e+01,4.545454545454546746e+00
4.496578690127077493e+01,8.010434324595937028e+01,5.034213098729225067e+00
4.643206256109481700e+01,4.642841054484336638e+01,3.567937438905183001e+00
4.692082111436950242e+01,5.214059289370976558e+01,3.079178885630497575e+00
4.740957966764418785e+01,4.767836087944865398e+01,2.590420332355812150e+00
4.643206256109481700e+01,7.284962824489241484e+01,3.567937438905183001e+00
4.643206256109481700e+01,6.382699146741531138e+01,3.567937438905183001e+00
4.692082111436950242e+01,5.469655799988397149e+01,3.079178885630497575e+00
4.740957966764418785e+01,5.022849007348999351e+01,2.590420332355812150e+00
4.740957966764418785e+01,5.570293069678196218e+01,2.590420332355812150e+00
4.838709677419355160e+01,3.633795837052748112e+01,1.612903225806448404e+00
4.838709677419355160e+01,4.657004543972850286e+01,1.612903225806448404e+00
4.887585532746822992e+01,3.695460871608605657e+01,1.124144672531770084e+00
4.985337243401760077e+01,2.242522286925267494e+01,1.466275659823992328e-01
4.887585532746822992e+01,5.205360931244358369e+01,1.124144672531770084e+00
4.936461388074291534e+01,3.252928009608909576e+01,6.353861192570846583e-01
5.131964809384164994e+01,0.000000000000000000e+00,-1.319648093841649938e+00
4.985337243401760077e+01,4.714098449224102438e+01,1.466275659823992328e-01
5.034213098729227909e+01,2.263490340536726109e+01,-3.421309872922790873e-01
5.229716520039100658e+01,0.000000000000000000e+00,-2.297165200391006579e+00
5.278592375366569200e+01,0.000000000000000000e+00,-2.785923753665692004e+00
5.131964809384164994e+01,3.215384299750060393e+01,-1.319648093841649938e+00
5.083088954056695741e+01,2.721103908613169153e+01,-8.308895405669574075e-01
5.131964809384164994e+01,1.224332312206925799e+01,-1.319648093841649938e+00
5.278592375366569200e+01,0.000000000000000000e+00,-2.785923753665692004e+00
5.131964809384164994e+01,3.145899089030792695e+01,-1.319648093841649938e+00
5.180840664711632826e+01,6.657445947318717749e+00,-1.808406647116328259e+00
5.131964809384164994e+01,2.109499632235302613e+01,-1.319648093841649938e+00
5.131964809384164994e+01,1.596553012865602739e+01,-1.319648093841649938e+00
5.180840664711632826e+01,5.846214276893039852e+00,-1.808406647116328259e+00
5.180840664711632826e+01,1.035750923944468838e+01,-1.808406647116328259e+00
5.180840664711632826e+01,9.994505118065152516e+00,-1.808406647116328259e+00
5.180840664711632826e+01,9.637068105466372714e+00,-1.808406647116328259e+00
5.229716520039100658e+01,0.000000000000000000e+00,-2.297165200391006579e+00
5.229716520039100658e+01,4.295463636357272463e+00,-2.297165200391006579e+00
5.229716520039100658e+01,3.834323784939098090e+00,-2.297165200391006579e+00
5.180840664711632826e+01,1.331171210144748684e+01,-1.808406647116328259e+00
5.180840664711632826e+01,8.001462492425357453e+00,-1.808406647116328259e+00
5.229716520039100658e+01,0.000000000000000000e+00,-2.297165200391006579e+00
5.229716520039100658e+01,2.652365338417766338e+00,-2.297165200391006579e+00
5.229716520039100658e+01,2.198714666702155540e+00,-2.297165200391006579e+00
5.278592375366569200e+01,0.000000000000000000e+00,-2.785923753665692004e+00
5.180840664711632826e+01,1.663346845689168418e+01,-1.808406647116328259e+00
5.131964809384164994e+01,1.621467066347015162e+01,-1.319648093841649938e+00
5.131964809384164994e+01,1.109137022576829423e+01,-1.319648093841649938e+00
5.083088954056695741e+01,2.067139609748343432e+01,-8.308895405669574075e-01
5.131964809384164994e+01,5.703352409356561736e+00,-1.319648093841649938e+00
5.278592375366569200e+01,0.000000000000000000e+00,-2.785923753665692004e+00
5.131964809384164994e+01,2.528183165052842796e+01,-1.319648093841649938e+00
5.131964809384164994e+01,1.013850955063518811e+01,-1.319648093841649938e+00
5.131964809384164994e+01,9.878547587585707390e+00,-1.319648093841649938e+00
5.131964809384164994e+01,9.612851329096717024e+00,-1.319648093841649938e+00
5.131964809384164994e+01,9.353037367351706877e+00,-1.319648093841649938e+00
5.083088954056695741e+01,1.892791826813662226e+01,-8.308895405669574075e-01
5.083088954056695741e+01,1.390969870936484298e+01,-8.308895405669574075e-01
5.083088954056695741e+01,1.374229262394870688e+01,-8.308895405669574075e-01
5.083088954056695741e+01,1.357874706203984871e+01,-8.308895405669574075e-01
5.083088954056695741e+01,1.341121771911254257e+01,-8.308895405669574075e-01
5.034213098729227909e+01,2.319983603736791267e+01,-3.421309872922790873e-01
5.083088954056695741e+01,8.328407857843687978e+00,-8.308895405669574075e-01
4.985337243401760077e+01,3.291657906624170948e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.300995131718205755e+01,1.466275659823992328e-01
5.131964809384164994e+01,0.000000000000000000e+00,-1.319648093841649938e+00
4.985337243401760077e+01,3.758620059615110165e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.306836704331515975e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.309792661224049581e+01,1.466275659823992328e-01
4.936461388074291534e+01,3.307791394536283747e+01,6.353861192570846583e-01
5.034213098729227909e+01,8.568864784550312308e+00,-3.421309872922790873e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
5.034213098729227909e+01,3.274623700481189559e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.813009773391426904e+01,-3.421309872922790873e-01
4.985337243401760077e+01,2.790151442655160707e+01,1.466275659823992328e-01
5.034213098729227909e+01,1.313046528133796897e+01,-3.421309872922790873e-01
5.229716520039100658e+01,0.000000000000000000e+00,-2.297165200391006579e+00
5.034213098729227909e+01,3.787140174652682845e+01,-3.421309872922790873e-01
4.985337243401760077e+01,2.779593580749019566e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.297082101587898251e+01,1.466275659823992328e-01
5.131964809384164994e+01,0.000000000000000000e+00,-1.319648093841649938e+00
4.936461388074291534e+01,4.782405043762889818e+01,6.353861192570846583e-01
4.887585532746822992e+01,3.795298790930861088e+01,1.124144672531770084e+00
4.936461388074291534e+01,2.337493726023798502e+01,6.353861192570846583e-01
5.131964809384164994e+01,0.000000000000000000e+00,-1.319648093841649938e+00
4.789833822091886617e+01,7.812881145696239571e+01,2.101661779081133830e+00
4.936461388074291534e+01,1.430209341162325742e+01,6.353861192570846583e-01
5.131964809384164994e+01,0.000000000000000000e+00,-1.319648093841649938e+00
4.936461388074291534e+01,4.845045618522203057e+01,6.353861192570846583e-01
4.985337243401760077e+01,1.918908749399269809e+01,1.466275659823992328e-01
5.131964809384164994e+01,0.000000000000000000e+00,-1.319648093841649938e+00
4.985337243401760077e+01,3.905216041939444693e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.420472648463046639e+01,1.466275659823992328e-01
5.131964809384164994e+01,0.000000000000000000e+00,-1.319648093841649938e+00
4.985337243401760077e+01,3.880648188937686882e+01,1.466275659823992328e-01
4.887585532746822992e+01,4.414788214050362569e+01,1.124144672531770084e+00
4.936461388074291534e+01,2.461394951112457363e+01,6.353861192570846583e-01
5.083088954056695741e+01,0.000000000000000000e+00,-8.308895405669574075e-01
4.936461388074291534e+01,4.417219906771306626e+01,6.353861192570846583e-01
4.936461388074291534e+01,2.972443084889251708e+01,6.353861192570846583e-01
5.131964809384164994e+01,0.000000000000000000e+00,-1.319648093841649938e+00
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
4.936461388074291534e+01,5.415100892358573503e+01,6.353861192570846583e-01
4.985337243401760077e+01,2.003815387503900780e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.502306570615225567e+01,1.466275659823992328e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
4.985337243401760077e+01,4.449201937285941710e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.508147985215049758e+01,1.466275659823992328e-01
5.034213098729227909e+01,1.526590647296557179e+01,-3.421309872922790873e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
5.180840664711632826e+01,5.098290121566883215e+00,-1.808406647116328259e+00
4.985337243401760077e+01,4.452361161020101576e+01,1.466275659823992328e-01
4.936461388074291534e+01,3.454746678275368055e+01,6.353861192570846583e-01
4.936461388074291534e+01,2.981823482797750557e+01,6.353861192570846583e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
4.936461388074291534e+01,5.474153130925881072e+01,6.353861192570846583e-01
4.985337243401760077e+01,2.022921489898490677e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.511429535188970519e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.514381039736894863e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.517270893155642142e+01,1.466275659823992328e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
5.034213098729227909e+01,3.509748810137735120e+01,-3.421309872922790873e-01
5.034213098729227909e+01,2.014881374059875796e+01,-3.421309872922790873e-01
4.985337243401760077e+01,3.002590812508484674e+01,1.466275659823992328e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
5.131964809384164994e+01,1.510366714475770245e+01,-1.319648093841649938e+00
5.034213098729227909e+01,2.955783815499829359e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.978139236618921259e+01,-3.421309872922790873e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
4.985337243401760077e+01,4.454367428107119053e+01,1.466275659823992328e-01
4.936461388074291534e+01,3.456788671203614882e+01,6.353861192570846583e-01
4.985337243401760077e+01,1.989322446371556197e+01,1.466275659823992328e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
5.034213098729227909e+01,3.478710927341801096e+01,-3.421309872922790873e-01
4.936461388074291534e+01,3.950968164393039217e+01,6.353861192570846583e-01
5.034213098729227909e+01,1.003502355831741788e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.989139506287813219e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.982400169330599482e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.975509264811733701e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.968769738611229414e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.961878762310425728e+01,-3.421309872922790873e-01
5.083088954056695741e+01,9.603366036855049970e+00,-8.308895405669574075e-01
5.034213098729227909e+01,2.424058911292803131e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.931887149554417960e+01,-3.421309872922790873e-01
5.229716520039100658e+01,0.000000000000000000e+00,-2.297165200391006579e+00
5.083088954056695741e+01,2.915213438913611199e+01,-8.308895405669574075e-01
5.034213098729227909e+01,2.394056623491445634e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.901887075385964110e+01,-3.421309872922790873e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
4.985337243401760077e+01,4.378437139311300541e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.396487139047402692e+01,1.466275659823992328e-01
5.034213098729227909e+01,1.404748824664821782e+01,-3.421309872922790873e-01
4.985337243401760077e+01,2.878058606506233730e+01,1.466275659823992328e-01
5.034213098729227909e+01,1.400993867408540794e+01,-3.421309872922790873e-01
5.229716520039100658e+01,0.000000000000000000e+00,-2.297165200391006579e+00
5.034213098729227909e+01,3.875318053214121505e+01,-3.421309872922790873e-01
5.083088954056695741e+01,8.995973926181280333e+00,-8.308895405669574075e-01
5.034213098729227909e+01,2.363164788092032964e+01,-3.421309872922790873e-01
5.376344086021505575e+01,0.000000000000000000e+00,-3.763440860215055750e+00
5.034213098729227909e+01,5.336798044658949181e+01,-3.421309872922790873e-01
5.083088954056695741e+01,8.696330984024728039e+00,-8.308895405669574075e-01
5.229716520039100658e+01,0.000000000000000000e+00,-2.297165200391006579e+00
4.985337243401760077e+01,4.762375112387276488e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.338111789555130571e+01,1.466275659823992328e-01
5.034213098729227909e+01,1.357168731773588810e+01,-3.421309872922790873e-01
4.985337243401760077e+01,2.830829029733200741e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.337061820468348117e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.339947310337675646e+01,1.466275659823992328e-01
5.034213098729227909e+01,1.359403351073567023e+01,-3.421309872922790873e-01
4.985337243401760077e+01,2.832668130098921466e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.338892650720763200e+01,1.466275659823992328e-01
5.034213098729227909e+01,1.346468832805163629e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.836505643992819614e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.829773973020280664e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.822875335629025173e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.816144044774475219e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.809245314392982351e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.802513393815068810e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.795612242424583016e+01,-3.421309872922790873e-01
4.985337243401760077e+01,2.784288073874143521e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.290212023619435300e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.293096012360641467e+01,1.466275659823992328e-01
5.131964809384164994e+01,0.000000000000000000e+00,-1.319648093841649938e+00
4.985337243401760077e+01,3.786796835994498167e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.298937821994181618e+01,1.466275659823992328e-01
4.887585532746822992e+01,4.292569814487104196e+01,1.124144672531770084e+00
4.985337243401760077e+01,1.354822724311829596e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.326889367606967696e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.329847394755843482e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.332729400637547101e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.335688949889785704e+01,1.466275659823992328e-01
5.034213098729227909e+01,1.342974538712673294e+01,-3.421309872922790873e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
5.034213098729227909e+01,3.324667827121761832e+01,-3.421309872922790873e-01
5.034213098729227909e+01,1.826574075000598540e+01,-3.421309872922790873e-01
4.985337243401760077e+01,2.815281298459451875e+01,1.466275659823992328e-01
5.180840664711632826e+01,0.000000000000000000e+00,-1.808406647116328259e+00
5.034213098729227909e+01,3.313968310452739274e+01,-3.421309872922790873e-01
4.985337243401760077e+01,2.798989697075123928e+01,1.466275659823992328e-01
5.034213098729227909e+01,1.321858182250754510e+01,-3.421309872922790873e-01
5.131964809384164994e+01,0.000000000000000000e+00,-1.319648093841649938e+00
4.985337243401760077e+01,3.801624465836466271e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.313559947918104598e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.316443871636061758e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.319400461281716019e+01,1.466275659823992328e-01
4.985337243401760077e+01,2.322285276447439628e+01,1.466275659823992328e-01
